Designator,Mid X,Mid Y,Rotation,Layer
C1,102.075,-67.35,180.0,top
C2,106.275,-67.35,180.0,top
J1,103.9285,-70.5455,270.0,bottom
J6,104.375,-62.35,270.0,bottom
J7,105.65,-59.5,270.0,bottom
R1,104.225,-65.75,180.0,top
R2,104.275,-75.6,180.0,top
R3,102.625,-74.1,180.0,top
R4,105.825,-74.1,180.0,top
U1,104.2,-70.75,270.0,top
